0003-066 | *NRAO5, radec gaincal, 00:06:13.892894, -06:23:35.335300, (7000 15000 4.4851 -2.5022 0.3761)
0106+013 | *4C01.02, radec gaincal, 01:08:38.771074, 01:35:00.317140, (7000 15000 1.53738 -0.42202 0.04042)
0208-512, radec gaincal, 02:10:46.200, -51:01:01.90, (7000 15000 5.8737 -2.9667 0.3969)
0336-019 | *2E820, radec gaincal, 03:39:30.937787, -01:46:35.803990, (7000 15000 9.9612 -5.0284 0.6599)
0420-014, radec gaincal, 04:23:15.800727, -01:20:33.065310, (7000 15000 -3.5312 2.1972 -0.2889)
0430+052 | *3C120, radec gaincal, 04:33:11.095535, 05:21:15.619420, (7000 15000 13.9058 -7.08 0.9195)
0451-282, radec gaincal, 04:53:14.646807, -28:07:37.327600, (7000 15000 1.88274 -0.78536 0.09796)
0454-234, radec gaincal, 04:57:03.179230, -23:24:52.020050, (7000 15000 -5.3703 3.0297 -0.3748)
0454-463, radec gaincal, 04:55:50.77247716, -46:15:58.6802029, (7000 15000 -5.573 3.3237 -0.4554)
0458-020 | *2E1203, radec gaincal, 05:01:12.809888, -01:59:14.256200, (7000 15000 -3.41624 1.7209 -0.188)
0537-441, 2E1488, radec gaincal, 05:38:50.362, -44:05:08.94, (7000 15000 -4.2629 2.4845 -0.3155)
0607-15  | *2E1608, radec gaincal, 06:09:40.949538, -15:42:40.672640, (7000 15000 -5.8638 3.7623 -0.5397)
0637-752 | *2E1720, radec gaincal, 06:35:46.507954, -75:16:16.81497, (7000 15000 1.11964 -0.02826 -0.02964)
0648-165, radec gaincal, 06:50:24.581852, -16:37:39.725000, (7000 15000 -2.47137 1.92689 -0.3109)
0723-008, radec gaincal, 07:25:50.639953, -00:54:56.544380, (7000 15000 -13.206 7.566 -1.017)
0727-115, radec gaincal, 07:30:19.112472, -11:41:12.600480, (7000 15000 -13.65573 7.5182 -0.9812)
0851+202, radec gaincal, 08:54:48.874925, 20:06:30.640880, (7000 15000 -10.668599 5.668 -0.705)
1055+018, radec gaincal, 10:58:29.605209, 01:33:58.823720, (7000 15000 -1.75579 0.5974 0.0)
1127-145, radec gaincal, 11:30:07.052580, -14:49:27.388160, (7000 15000 10.8316 -5.4358 0.7183)
1226+023 | *3C273, radec gaincal, 12:29:06.699729, 02:03:08.598190, (7000 15000 10.0428 -3.8442 0.4112)
1253-055 | *3C279, radec gaincal, 12:56:11.166560, -05:47:21.524580, (7000 15000 -6.3383 3.8491 -0.4799)
1328+307 | *3C286, radec gaincal, 13:31:08.287984, 30:30:32.958850, (7000 15000 -5.5604 4.0019 -0.6125)
1334-127, radec gaincal, 13:37:39.782780, -12:57:24.693230, (7000 15000 -5.92167 2.8394 -0.2864)
1421-490, radec gaincal, 14:24:32.23734, -49:13:49.7437, (7000 15000 3.15185 -0.8016 0.04055)
1424-418, radec gaincal, 14:27:56.29756258, -42:06:19.4376191, (7000 15000 2.5162 -0.9338 0.1159)
1510-089 | *2E3390, radec gaincal, 15:12:50.532939, -09:05:59.829500, (7000 15000 5.6623 -2.5689 0.3179)
1514-241 | *2E3408, radec gaincal, 15:17:41.813132, -24:22:19.475940, (7000 15000 -0.56844 0.52365 -0.07319)
1548+056 | *4C05.64, radec gaincal, 15:50:35.269240, 05:27:10.448230, (7000 15000 0.87961 -0.04404 -0.01721)
1613-586, radec gaincal, 16:17:17.88951, -58:48:07.8604, (7000 15000 -1.15906 1.15952 -0.1809)
1622-253, radec gaincal, 16:25:46.891639, -25:27:38.326880, (7000 15000 -9.8757 5.2778 -0.6828)
1718-649 | *NGC6328, radec gaincal, 17:23:41.029, -65:00:36.61, (7000 15000 -3.0314 2.4144 -0.3821)
1730-130, radec gaincal, 17:33:02.705790, -13:04:49.548230, (7000 15000 -5.3319 2.8857 -0.3455)
1741-038, radec gaincal, 17:43:58.856137, -03:50:04.616680, (7000 15000 -7.9114 4.3192 -0.5487)
1749+096 | *4C09.57, radec gaincal, 17:51:32.818573, 09:39:00.728510, (7000 15000 -3.6956 2.0104 -0.2428)
1908-201, radec gaincal, 19:11:09.652893, -20:06:55.109070, (7000 15000 -5.77702 3.0974 -0.394)
1920-211, radec gaincal, 19:23:32.189815, -21:04:33.333080, (7000 15000 5.0204 -2.4818 0.3237)
1921-293 | *OV236, radec gaincal, 19:24:51.055957, -29:14:30.121150, (7000 15000 -1.4704 1.0882 -0.1123)
1954-388, radec gaincal, 19:57:59.819, -38:45:06.36, (7000 15000 -4.43912 2.4156 -0.3041)
2052-474, radec gaincal, 20:56:16.35982597, -47:14:47.6278751, (7000 15000 -4.1661 2.2911 -0.2877)
2131-021 | *4C-02.81, radec gaincal, 21:34:10.309614, -01:53:17.238900, (7000 15000 -7.46453 4.1417 -0.5481)
2134+004 | *OX57, radec gaincal, 21:36:38.586299, 00:41:54.213350, (7000 15000 -13.6962 8.154 -1.13)
2145+067 | *4C06.69, radec gaincal, 21:48:05.458679, 06:57:38.604220, (7000 15000 -9.4923 5.5914 -0.7699)
2155-152 | *2E4542, radec gaincal, 21:58:06.281901, -15:01:09.328090, (7000 15000 -7.2212 4.2022 -0.5632)
2203-188 | *WMAP16, radec gaincal, 22:06:10.417082, -18:35:38.746520, (7000 15000 -0.2214 0.8565 -0.1693)
2230+114 | *4C11.69, radec gaincal, 22:32:36.408914, 11:43:50.904100, (7000 15000 -1.9999 1.6181 -0.2415)
2223-052 | *3C446, radec gaincal, 22:25:47.259291, -04:57:01.390730, (7000 15000 1.23381 -0.04414 -0.02841)
2251+158 | *3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890, (7000 15000 -1.2536 0.6562 0.0)
2255-282 | *WMAP12, radec gaincal, 22:58:05.962888, -27:58:21.256750, (7000 15000 -7.87296 4.382 -0.5755)
2326-477, radec gaincal, 23:29:17.704, -47:30:19.11, (7000 15000 4.3278 -2.0435 0.2618)
2355-534, radec gaincal, 23:57:53.266, -53:11:13.69, (7000 15000 -4.94897 2.7135 -0.3513)